episode,step,cluster_id,selected_uav_id,selected_uav_rate_bps,match,success_probability
1,7,1,4,93860329.14668582,1,1.0
1,7,2,8,68009727.65601143,1,1.0
1,7,3,11,61846429.629789956,1,1.0
1,8,0,2,83814787.59976237,1,1.0
1,8,1,3,138330445.078816,1,1.0
1,8,2,6,91789436.64193961,1,1.0
1,8,3,10,98368793.36623648,1,1.0
1,9,0,2,106753218.81706187,1,1.0
1,9,1,3,91186765.1473436,1,1.0
1,9,2,8,62162366.09212677,1,1.0
1,9,3,10,64055230.55387463,1,1.0
1,10,0,2,82131339.93104984,1,1.0
1,10,1,3,71230236.35126631,1,1.0
1,10,2,6,63014806.36463649,1,1.0
1,10,3,10,76559273.97490825,1,1.0
1,11,0,2,73234846.46305339,1,1.0
1,11,1,4,78513875.12045492,1,1.0
1,11,2,8,67747854.92963782,1,1.0
1,11,3,10,66488120.338528596,1,1.0
1,12,0,2,80348546.41547939,1,1.0
1,12,1,3,80709543.00956517,1,1.0
1,12,2,8,99970958.82431795,1,1.0
1,12,3,10,98989614.40881163,1,1.0
1,13,0,2,66086130.74441342,1,1.0
1,13,1,5,89262453.35428913,1,1.0
1,13,2,7,66650086.404289156,1,1.0
1,13,3,10,87647580.52734892,1,1.0
1,14,0,0,53440950.06764676,1,1.0
1,14,1,3,67229341.17054857,1,1.0
1,14,2,6,79436537.02651906,1,1.0
1,14,3,10,94214729.07301669,1,1.0
1,15,0,0,79955366.97944386,1,1.0
1,15,1,3,90268685.5747274,1,1.0
1,15,2,6,79703907.62419446,1,1.0
1,15,3,11,77237361.52867961,1,1.0
1,16,0,2,105758024.01796255,1,1.0
1,16,1,3,52758487.937588215,1,1.0
1,16,2,6,64306956.791520536,1,1.0
1,16,3,11,71102780.6298153,1,1.0
1,17,0,2,104705961.88393766,1,1.0
1,17,1,3,77295640.80894968,1,1.0
1,17,2,8,73537592.73125426,1,1.0
1,17,3,11,78819408.94411054,1,1.0
1,18,0,0,91344968.91714491,1,1.0
1,18,1,3,92346245.4874378,1,1.0
1,18,2,6,68695048.02411464,1,1.0
1,18,3,10,104416929.54909955,1,1.0
1,19,0,2,70920387.04890431,1,1.0
1,19,1,3,66100554.25805129,1,1.0
1,19,2,6,86381433.3909659,1,1.0
1,19,3,10,78162582.40751684,1,1.0
1,20,0,2,61542282.79036518,1,1.0
1,20,1,3,92813599.47618632,1,1.0
1,20,2,6,88306718.78300035,1,1.0
1,20,3,10,82544199.02869825,1,1.0
1,21,0,2,93876703.29931276,1,1.0
1,21,1,5,63180250.87916337,1,1.0
1,21,2,8,67011665.76834242,1,1.0
1,21,3,10,82303439.53817248,1,1.0
1,22,0,2,77100875.90730162,1,1.0
1,22,1,3,69157005.7063793,1,1.0
1,22,2,8,58861249.625559956,1,1.0
1,22,3,10,88866679.13640279,1,1.0
1,23,0,2,74313778.1706426,1,1.0
1,23,1,3,61622526.80701084,1,1.0
1,23,2,8,81695820.51384898,1,1.0
1,23,3,10,101887259.60034391,1,1.0
2,0,0,2,92646435.11616856,1,1.0
2,0,1,3,76896370.02594039,1,1.0
2,0,2,8,82940623.57628137,1,1.0
2,0,3,10,99001039.46832147,1,1.0
2,1,0,2,90519505.06300949,1,1.0
2,1,1,4,71267459.22536701,1,1.0
2,1,2,7,56723824.91313395,1,1.0
2,1,3,10,72775238.9089615,1,1.0
2,2,0,0,56495302.95372776,1,1.0
2,2,1,3,74744315.17692803,1,1.0
2,2,2,6,66525548.84010457,1,1.0
2,2,3,10,91967848.00596514,1,1.0
2,3,0,2,82357882.56609704,1,1.0
2,3,1,3,70548878.64617144,1,1.0
2,3,2,8,78655072.47123706,1,1.0
2,3,3,10,78559749.49758166,1,1.0
2,4,0,2,61532926.97604966,1,1.0
2,4,1,3,69238096.19780126,1,1.0
2,4,2,8,57766678.96402203,1,1.0
2,4,3,10,87539730.5301645,1,1.0
2,5,0,2,66284318.95347911,1,1.0
2,5,1,3,70572508.19483778,1,1.0
2,5,2,6,67387692.11606652,1,1.0
2,5,3,10,85175097.45937413,1,1.0
2,6,0,1,61328986.77575164,1,1.0
2,6,1,3,64107335.01357591,1,1.0
2,6,2,8,71154355.32911928,1,1.0
2,6,3,10,91566220.42650078,1,1.0
2,7,0,2,56918520.73810233,1,1.0
2,7,1,4,94432872.03850439,1,1.0
2,7,2,7,55216559.22176924,1,1.0
2,7,3,10,105058727.53779338,1,1.0
2,8,0,1,72652343.83919486,1,1.0
2,8,1,4,57297463.36642695,1,1.0
2,8,2,6,82738528.10311633,1,1.0
2,8,3,10,88977697.2744864,1,1.0
2,9,0,0,65244931.76440454,1,1.0
2,9,1,4,67486348.97781737,1,1.0
2,9,2,6,74049042.91955094,1,1.0
2,9,3,11,65714526.34301224,1,1.0
2,10,0,0,59142593.264483444,1,1.0
2,10,1,3,78602690.73155186,1,1.0
2,10,2,7,70116390.83592291,1,1.0
2,10,3,10,70310475.21014711,1,1.0
2,11,0,2,94107462.63605104,1,1.0
2,11,1,5,61742740.0661558,1,1.0
2,11,2,8,95163941.14660999,1,1.0
2,11,3,10,96644902.44224234,1,1.0
2,12,0,0,64446494.06623796,1,1.0
2,12,1,3,66904668.589586385,1,1.0
2,12,2,6,63005139.45404729,1,1.0
2,12,3,10,73012259.06565924,1,1.0
2,13,0,2,90092171.38034469,1,1.0
2,13,1,3,71183026.32443367,1,1.0
2,13,2,6,68045444.03402658,1,1.0
2,13,3,11,98826591.6172521,1,1.0
2,14,0,2,58709831.91524097,1,1.0
2,14,1,3,76796129.57956629,1,1.0
2,14,2,8,58506810.172854215,1,1.0
2,14,3,10,80078478.96102475,1,1.0
2,15,0,2,71379408.80196331,1,1.0
2,15,1,3,60903741.25355374,1,1.0
2,15,2,8,66792494.37104914,1,1.0
2,15,3,11,69586846.45373267,1,1.0
2,16,0,2,76035258.2414786,1,1.0
2,16,1,3,55434935.753844336,1,1.0
2,16,2,8,56962846.58372527,1,1.0
2,16,3,10,89861191.47622295,1,1.0
2,17,0,2,76011715.31684878,1,1.0
2,17,1,3,65674617.026736684,1,1.0
2,17,2,6,72324237.2114284,1,1.0
2,17,3,11,77797345.1507723,1,1.0
2,18,0,2,85913849.42726447,1,1.0
2,18,1,4,83738846.70119447,1,1.0
2,18,2,8,69383652.56337917,1,1.0
2,18,3,10,71434241.52437206,1,1.0
2,19,0,2,72043025.17972139,1,1.0
2,19,1,3,85179782.6794724,1,1.0
2,19,2,7,79557348.72815995,1,1.0
2,19,3,10,65159424.163485,1,1.0
2,20,0,2,75293448.0038474,1,1.0
2,20,1,4,64063955.22586772,1,1.0
2,20,2,6,69399880.69526587,1,1.0
2,20,3,10,116004008.79989871,1,1.0
2,21,0,2,70906931.03806913,1,1.0
2,21,1,4,59288978.146644056,1,1.0
2,21,2,8,77780602.04082882,1,1.0
2,21,3,10,84393651.11593632,1,1.0
2,22,0,2,84187996.59737608,1,1.0
2,22,1,4,63583099.72597178,1,1.0
2,22,2,8,64789612.734394565,1,1.0
2,22,3,11,98255386.59582272,1,1.0
2,23,0,2,69451551.50231872,1,1.0
2,23,1,4,64789465.1105225,1,1.0
2,23,2,6,64403853.05090239,1,1.0
2,23,3,11,70916135.62061545,1,1.0
3,0,0,0,70256804.37017559,1,1.0
3,0,1,3,69288423.07193515,1,1.0
3,0,2,8,103706546.19540125,1,1.0
3,0,3,10,108566884.25085232,1,1.0
3,1,0,2,83879672.89513627,1,1.0
3,1,1,3,81028266.90018004,1,1.0
3,1,2,8,64183858.69475053,1,1.0
3,1,3,11,71394785.50157808,1,1.0
