episode,target_cluster,winner_cluster,match,success_probability,winner_bh_rate_mbps,other_clusters_mean_bh_rate_mbps
57,3,3,1,1.0,59.946622235432116,56.27694586477142
58,3,3,1,1.0,60.4016693862077,56.472034379530726
59,3,3,1,1.0,59.01971735915201,56.71638588972659
60,3,3,1,1.0,59.78906367190636,56.51226429272907
61,3,3,1,1.0,61.296866491678735,55.58371475604993
62,3,3,1,1.0,59.31565333151925,56.92581776768345
63,3,3,1,1.0,59.07305558274481,56.91721102455797
64,3,3,1,1.0,62.35075021473738,57.52112768342752
65,3,3,1,1.0,61.84255004365412,55.835086984896094
66,3,3,1,1.0,58.82113644795483,56.63194832942144
67,1,1,1,1.0,58.528380712753226,57.0216792153137
68,3,3,1,1.0,62.85805369882084,55.64536578695068
69,3,3,1,1.0,59.06218699914145,55.62663368781552
70,3,3,1,1.0,61.23798885018873,56.519714342243184
71,3,3,1,1.0,58.73383360320476,56.796496621689414
72,3,3,1,1.0,60.82622874781754,56.29499201468822
73,1,1,1,1.0,58.351979553083005,57.5381383555173
74,3,3,1,1.0,59.245037050178254,56.50147555073311
75,3,3,1,1.0,59.880213026988834,56.484836856227695
76,3,3,1,1.0,59.599896503260794,56.1494043372341
77,3,3,1,1.0,59.56530779127746,56.28897877442876
78,3,3,1,1.0,61.75230690684513,56.30966471267906
79,3,3,1,1.0,58.14279298514155,56.04556601905624
80,1,1,1,1.0,58.858699215062565,56.65462644955958
81,3,3,1,1.0,59.687106333453734,56.10510160994015
82,3,3,1,1.0,58.35990506162135,55.21934320678749
83,3,3,1,1.0,62.092597801314234,55.95468148207255
84,3,3,1,1.0,59.39095848895963,56.2712797069302
85,3,3,1,1.0,59.459359358304596,56.170394699807375
86,3,3,1,1.0,60.85233935420732,56.70145971441706
87,3,3,1,1.0,59.42959513705834,56.7845831749346
88,3,3,1,1.0,58.80452075786547,55.646303990749544
89,3,3,1,1.0,58.41764818539149,56.10355577213169
90,3,3,1,1.0,61.387055165209226,56.79370902550929
91,3,3,1,1.0,59.14464178281689,56.4140572747263
92,3,3,1,1.0,60.22875158277124,56.36814366837946
93,0,0,1,1.0,60.00956607338226,57.373861631075556
94,3,3,1,1.0,59.59093634930343,56.471941555633926
95,3,3,1,1.0,59.53591602471786,56.187659029669426
96,3,3,1,1.0,60.4766514166954,56.166545820960664
97,3,3,1,1.0,59.91713237459969,56.054806249446116
98,1,1,1,1.0,59.71514972605188,58.056838278633634
99,3,3,1,1.0,58.59875667664907,56.15283219848133
100,1,1,1,1.0,60.563588614185875,56.651624378457576
101,3,3,1,1.0,59.062813380123636,57.1976864832653
102,3,3,1,1.0,61.770444922537685,55.608193009804964
103,3,3,1,1.0,59.88105316831242,56.68751380833795
104,3,3,1,1.0,60.479158661996664,57.22486303168684
105,3,3,1,1.0,61.251214569994545,56.9863299995615
106,3,3,1,1.0,60.54426132024205,55.486724537697334
107,3,3,1,1.0,57.889785566874885,56.26952574580187
108,3,3,1,1.0,60.63252340499774,56.21512393541491
109,3,3,1,1.0,57.789818698494436,55.892088425190295
110,3,3,1,1.0,60.47833249388172,55.840951752798915
111,3,3,1,1.0,59.26061952615213,55.60092332044761
112,3,3,1,1.0,61.9596356212003,56.150604615363655
113,3,3,1,1.0,60.41715680900928,55.63774049956679
114,3,3,1,1.0,58.56783287848083,55.40995672882203
115,3,3,1,1.0,59.08151992395729,56.03257024532803
116,3,3,1,1.0,60.13455897888297,57.15000661322807
117,3,3,1,1.0,60.41441783382503,55.588201435069806
118,3,3,1,1.0,58.515141650115545,56.18825541871137
119,3,3,1,1.0,60.9029689713645,56.443539362134096
120,3,3,1,1.0,60.02151216100078,57.568716759909876
121,3,3,1,1.0,59.19990841334086,55.877152046908705
122,1,1,1,1.0,59.63542545091614,56.904317598540906
123,3,3,1,1.0,59.631070128670245,56.03283918803918
124,3,3,1,1.0,61.36085259595978,56.919428268873595
125,3,3,1,1.0,60.90656561463519,56.6447071059242
126,3,3,1,1.0,60.248318066526025,57.453319841830485
127,3,3,1,1.0,61.148452946072126,55.54084514675476
128,3,3,1,1.0,59.008877983154704,56.21400726850496
129,3,3,1,1.0,57.63650551964772,56.6075855419792
130,3,3,1,1.0,59.59488012999969,56.14868630550867
131,3,3,1,1.0,59.16292809553769,55.96421098607797
132,3,3,1,1.0,59.16738170337474,56.778065982108956
133,3,3,1,1.0,58.98967867288694,56.64956324189031
134,3,3,1,1.0,62.21916354101891,56.73737667535875
135,3,3,1,1.0,60.01157443331483,56.061977239533306
136,3,3,1,1.0,59.86150633969158,56.32381981009007
137,3,3,1,1.0,59.720053533358595,55.99100596379406
138,3,3,1,1.0,58.21366422766081,56.11621663087454
139,3,3,1,1.0,60.322583466815956,56.55055835979969
140,3,3,1,1.0,59.621269510967736,56.85826997408397
141,3,3,1,1.0,60.206663498411515,56.237030550829324
142,3,3,1,1.0,59.61106806840728,56.26841093658952
143,3,3,1,1.0,59.812276367025675,56.16886264374904
144,3,3,1,1.0,60.220655431983644,56.57039548575463
145,3,3,1,1.0,58.43648302717064,55.887738434449844
146,3,3,1,1.0,59.4904795319528,57.02579908514564
147,3,3,1,1.0,59.070793802447916,55.32202049784989
148,3,3,1,1.0,61.234191533283415,55.86291886690356
149,3,3,1,1.0,59.44126012819439,56.64300382831708
150,3,3,1,1.0,60.24657492562329,55.623649815503384
151,3,3,1,1.0,61.49383870631242,55.884432454140864
152,3,3,1,1.0,59.67683430773877,56.40577799254309
153,3,3,1,1.0,59.69134930666894,56.38194549229454
154,3,3,1,1.0,61.091399180394106,56.52767482411296
155,3,3,1,1.0,60.200072807076594,56.08096885253928
156,3,3,1,1.0,62.19935265455569,55.24227202923407
157,3,3,1,1.0,59.132662207281406,56.19904560780263
158,3,3,1,1.0,63.97812922502425,56.52576255218343
159,3,3,1,1.0,60.321988481674616,57.119845554523415
160,3,3,1,1.0,59.98411479980606,56.03469203468507
161,3,3,1,1.0,59.03839084310185,56.61570624026549
162,3,3,1,1.0,59.11969757942953,56.04525601849761
163,3,3,1,1.0,60.77591983794511,56.223044338322545
164,3,3,1,1.0,59.3950214089241,56.220338775769356
165,3,3,1,1.0,58.231152143217386,55.94471240805619
166,3,3,1,1.0,60.40319389352277,56.25919210814128
167,3,3,1,1.0,60.89185829647664,57.07203856452291
168,3,3,1,1.0,58.678597215591346,56.260980536146434
169,3,3,1,1.0,62.67734535633761,56.32609109238508
170,3,3,1,1.0,60.94438060301245,56.70616479916698
171,3,3,1,1.0,61.842983030950336,56.961145798194174
172,3,3,1,1.0,60.758079003290185,56.41436501858893
173,3,3,1,1.0,60.05198851081549,55.90872971033513
174,3,3,1,1.0,59.366045288775055,56.305846874889255
175,3,3,1,1.0,59.71015540564161,56.25045110018313
176,1,1,1,1.0,59.09828793198674,57.010917427767964
177,3,3,1,1.0,60.75893985163004,56.80200899526579
178,3,3,1,1.0,59.5939387854921,56.56730686839443
179,3,3,1,1.0,60.438605534956395,55.8492890593124
180,3,3,1,1.0,61.41998326784107,56.93479804054029
181,3,3,1,1.0,60.25506296673724,55.54252893039819
182,3,3,1,1.0,60.13604263930709,56.89429677212823
183,3,3,1,1.0,58.60818356661957,56.46062554028532
184,3,3,1,1.0,59.9609997644468,56.32554700967408
185,3,3,1,1.0,62.18059085021764,56.71485023365315
186,3,3,1,1.0,59.413413483737386,57.04356478713289
187,3,3,1,1.0,61.50340730695779,56.981962400687635
188,3,3,1,1.0,62.41412709823225,56.84104871307161
189,3,3,1,1.0,59.30730323774866,56.99485477238336
190,3,3,1,1.0,59.142212356134166,56.098341789225934
191,3,3,1,1.0,60.36001020769757,56.11291242173896
192,1,1,1,1.0,58.87674763966742,56.85040420257235
193,3,3,1,1.0,58.47889065183381,55.422501038929944
194,3,3,1,1.0,61.15457479738992,56.73613265905386
195,3,3,1,1.0,62.164494660307525,56.40584499715203
196,3,3,1,1.0,60.43294547417732,56.678139285652435
197,0,0,1,1.0,60.363308593974075,57.34603840207425
198,3,3,1,1.0,61.25588220891658,56.53281228845205
199,3,3,1,1.0,60.20856207159523,55.707050898602866
200,3,3,1,1.0,61.65385638125394,57.340675195758195
201,3,3,1,1.0,63.46742590187082,56.83131908496276
202,3,3,1,1.0,60.56730059881355,57.93875536398947
203,3,3,1,1.0,60.51405482206663,56.547443480319586
204,3,3,1,1.0,61.836369384998385,56.93300845234225
205,3,3,1,1.0,61.55666400965169,57.650791873815706
206,1,1,1,1.0,59.01590672312332,57.034543977637796
207,3,3,1,1.0,59.984765651846594,56.29874500089126
208,3,3,1,1.0,59.563487517650636,55.95519080885035
209,3,3,1,1.0,59.038264665079524,57.05859897019821
210,3,3,1,1.0,61.33265769329944,57.36239250848422
211,3,3,1,1.0,59.08484600978996,56.534383186312645
212,3,3,1,1.0,58.91759137939509,56.37609693327433
213,3,3,1,1.0,59.028071513463075,56.887311316400115
214,3,3,1,1.0,62.53194737162294,57.55647885461873
215,3,3,1,1.0,60.2294807023296,56.15191980672499
216,3,3,1,1.0,60.515199905208625,56.340169103823065
217,3,3,1,1.0,60.031354351727195,55.871181788126194
218,3,3,1,1.0,58.13364620409834,56.12150226131827
219,3,3,1,1.0,64.30923345931761,56.099594749348825
220,3,3,1,1.0,61.211579427694446,56.38174536749109
221,3,3,1,1.0,61.31466566692871,56.48215000396345
222,3,3,1,1.0,59.214946019409865,56.58321883959643
223,3,3,1,1.0,60.62104311659684,56.460341050474604
224,3,3,1,1.0,57.969623277921535,57.04395352031017
225,3,3,1,1.0,58.98052462571643,56.73982934302153
226,1,1,1,1.0,59.20890245830021,57.405059913207104
227,3,3,1,1.0,62.13649172053794,57.10356174440044
228,3,3,1,1.0,60.997696280247396,55.874642144537056
229,3,3,1,1.0,61.996600511910074,56.82105072398163
230,3,3,1,1.0,61.498331431202566,56.76245822268885
231,0,0,1,1.0,58.59253588826078,56.80926382086506
232,3,3,1,1.0,61.004412138763925,56.306960400907904
233,3,3,1,1.0,60.679621105462196,56.26171531426544
234,3,3,1,1.0,60.012968047548334,56.079823553525394
235,3,3,1,1.0,60.68557985803225,56.24949881948218
236,3,3,1,1.0,62.43197400706303,56.849034167762525
237,3,3,1,1.0,62.59795245318266,56.450429204593775
238,3,3,1,1.0,60.876536897433006,56.094074620528076
239,3,3,1,1.0,60.52501580940261,56.57590532336537
240,3,3,1,1.0,59.252754036470144,56.6934899232944
241,3,3,1,1.0,59.95084067479488,56.42710348655954
242,3,3,1,1.0,61.83539017442655,57.232908834580385
243,3,3,1,1.0,59.76624667396105,55.83448535593718
244,3,3,1,1.0,59.37159385887989,56.31823182451103
245,3,3,1,1.0,63.16329279929887,56.29499755685382
246,3,3,1,1.0,59.82964382352283,56.04060291227108
247,3,3,1,1.0,60.345392495213474,57.10961103866634
248,3,3,1,1.0,59.38451354033608,56.67221607609606
249,3,3,1,1.0,59.03149716040305,56.74113446284795
