episode,step,veh_id,selected_path,selected_latency_ms,classical_best_latency_ms,match,success_probability
0,0,5,Direct,0.04012358394115344,0.04012358394115344,1,1.0
0,1,2,Direct,0.024720245029348387,0.024720245029348387,1,1.0
0,1,4,Direct,0.043258651310396655,0.043258651310396655,1,1.0
0,2,5,Direct,0.017998126215905047,0.017998126215905047,1,1.0
0,2,6,Direct,0.008718575600899293,0.008718575600899293,1,1.0
0,3,15,Direct,0.009204217329417666,0.009204217329417666,1,1.0
0,4,7,Direct,0.01685724435852907,0.01685724435852907,1,1.0
0,5,14,Direct,0.04960248774036858,0.04960248774036858,1,1.0
0,6,15,Direct,0.015714876225942226,0.015714876225942226,1,1.0
0,7,0,Direct,0.015030932148717166,0.015030932148717166,1,1.0
0,7,2,Direct,0.009376103911555652,0.009376103911555652,1,1.0
0,8,5,Direct,0.05568759476069403,0.05568759476069403,1,1.0
0,8,15,Direct,0.014883803978372998,0.014883803978372998,1,1.0
0,9,4,Direct,0.049432859404400564,0.049432859404400564,1,1.0
0,9,14,Direct,0.025900946044948588,0.025900946044948588,1,1.0
0,9,15,Direct,0.057248055048002205,0.057248055048002205,1,1.0
0,10,4,Direct,0.10773302089943151,0.10773302089943151,1,1.0
0,10,7,Direct,0.050327958518167654,0.050327958518167654,1,1.0
0,12,0,Direct,0.025292585537711364,0.025292585537711364,1,1.0
0,12,3,Direct,0.01654439202615887,0.01654439202615887,1,1.0
0,12,4,Direct,0.15885766416015498,0.15885766416015498,1,1.0
0,12,5,Direct,0.015953480297086865,0.015953480297086865,1,1.0
0,13,5,Direct,0.07481021607547132,0.07481021607547132,1,1.0
0,14,2,Direct,0.009047899881893575,0.009047899881893575,1,1.0
0,16,3,Direct,0.011199128080573507,0.011199128080573507,1,1.0
0,17,3,Direct,0.009739848945073926,0.009739848945073926,1,1.0
0,21,6,Direct,0.031133235350475463,0.031133235350475463,1,1.0
1,0,6,Direct,0.013350859414968433,0.013350859414968433,1,1.0
1,3,9,Direct,0.012918547158455659,0.012918547158455659,1,1.0
1,3,11,Direct,0.10177568002721173,0.10177568002721173,1,1.0
1,3,15,Direct,0.020558835798958515,0.020558835798958515,1,1.0
1,4,8,Direct,0.018617892002047443,0.018617892002047443,1,1.0
1,5,2,Direct,0.01096933244246335,0.01096933244246335,1,1.0
1,6,11,Direct,0.035023128182998534,0.035023128182998534,1,1.0
1,6,12,Direct,0.18911575503370245,0.18911575503370245,1,1.0
1,7,2,Direct,0.01999884752731493,0.01999884752731493,1,1.0
1,7,11,Direct,0.04461624989040237,0.04461624989040237,1,1.0
1,8,15,Direct,0.00864735053536535,0.00864735053536535,1,1.0
