episode,epsilon
0,0.316227766016838
1,0.447213595499958
2,0.547722557505166
3,0.632455532033676
4,0.707106781186547
5,0.774596669241483
6,0.836660026534075
7,0.894427190999916
8,0.948683298050514
9,1
10,1.04880884817015
11,1.09544511501033
12,1.14017542509914
13,1.18321595661992
14,1.22474487139159
15,1.26491106406735
16,1.30384048104053
17,1.34164078649987
18,1.37840487520902
19,1.4142135623731
20,1.44913767461894
21,1.48323969741913
22,1.51657508881031
23,1.54919333848297
24,1.58113883008419
25,1.61245154965971
26,1.6431676725155
27,1.67332005306815
28,1.70293863659264
29,1.73205080756888
30,1.7606816861659
31,1.78885438199983
32,1.8165902124585
33,1.84390889145858
34,1.87082869338697
35,1.89736659610103
36,1.92353840616714
37,1.94935886896179
38,1.97484176581315
39,2
40,2.02484567313166
41,2.04939015319192
42,2.07364413533277
43,2.0976176963403
44,2.12132034355964
45,2.14476105895272
46,2.16794833886788
47,2.19089023002067
48,2.21359436211787
49,2.23606797749979
50,2.25831795812724
51,2.28035085019828
52,2.30217288664427
53,2.32379000772445
54,2.34520787991172
55,2.36643191323985
56,2.38746727726267
57,2.40831891575846
58,2.42899156029822
59,2.44948974278318
60,2.46981780704569
61,2.48997991959775
62,2.50998007960223
63,2.5298221281347
64,2.54950975679639
65,2.56904651573303
66,2.58843582110896
67,2.60768096208106
68,2.62678510731274
69,2.64575131106459
70,2.66458251889485
71,2.68328157299975
72,2.70185121722126
73,2.72029410174709
74,2.73861278752583
75,2.75680975041805
76,2.77488738510232
77,2.79284800875379
78,2.81069386451104
79,2.82842712474619
80,2.84604989415154
81,2.86356421265527
82,2.88097205817759
83,2.89827534923789
84,2.91547594742265
85,2.93257565972304
86,2.94957624075053
87,2.96647939483827
88,2.98328677803526
89,3
90,3.01662062579967
91,3.03315017762062
92,3.04959013639538
93,3.06594194335118
94,3.08220700148449
95,3.09838667696593
96,3.11448230047949
97,3.13049516849971
98,3.14642654451046
99,3.16227766016838
100,3.17804971641414
101,3.19374388453426
102,3.20936130717624
103,3.22490309931942
104,3.24037034920393
105,3.25576411921994
106,3.27108544675923
107,3.286335345031
108,3.30151480384384
109,3.3166247903554
110,3.33166624979154
111,3.3466401061363
112,3.36154726279432
113,3.37638860322683
114,3.39116499156264
115,3.40587727318528
116,3.42052627529742
117,3.43511280746354
118,3.44963766213207
119,3.46410161513776
120,3.47850542618522
121,3.4928498393146
122,3.50713558335004
123,3.5213633723318
124,3.53553390593274
125,3.54964786985977
126,3.56370593624109
127,3.57770876399967
128,3.5916569992136
129,3.60555127546399
130,3.61939221417077
131,3.63318042491699
132,3.6469165057621
133,3.66060104354463
134,3.67423461417477
135,3.68781778291716
136,3.70135110466435
137,3.71483512420134
138,3.72827037646145
139,3.74165738677394
140,3.75499667110372
141,3.76828873628336
142,3.78153408023781
143,3.79473319220206
144,3.80788655293196
145,3.82099463490856
146,3.83405790253616
147,3.84707681233427
148,3.86005181312376
149,3.87298334620742
150,3.88587184554509
151,3.89871773792359
152,3.91152144312159
153,3.92428337406972
154,3.93700393700591
155,3.9496835316263
156,3.96232255123179
157,3.97492138287036
158,3.98748040747538
159,4
160,4.01248052954778
161,4.02492235949962
162,4.03732584763727
163,4.04969134626332
164,4.06201920231798
165,4.07430975749268
166,4.08656334834051
167,4.09878030638384
168,4.1109609582189
169,4.12310562561766
170,4.13521462562707
171,4.14728827066555
172,4.15932686861709
173,4.17133072292284
174,4.18330013267038
175,4.19523539268061
176,4.20713679359253
177,4.2190046219458
178,4.23083916026124
179,4.24264068711929
180,4.25440947723653
181,4.26614580154031
182,4.27784992724149
183,4.28952211790545
184,4.30116263352132
185,4.31277173056957
186,4.32434966208793
187,4.33589667773576
188,4.34741302385683
189,4.35889894354068
190,4.37035467668243
191,4.38178046004133
192,4.39317652729776
193,4.40454310910905
194,4.41588043316393
195,4.42718872423573
196,4.43846820423443
197,4.4497190922574
198,4.4609416046391
199,4.47213595499958
200,4.48330235429198
201,4.49444101084885
202,4.50555213042753
203,4.51663591625449
204,4.52769256906871
205,4.53872228716409
206,4.54972526643093
207,4.56070170039656
208,4.57165178026499
209,4.58257569495584
210,4.59347363114234
211,4.60434577328854
212,4.61519230368573
213,4.62601340248815
214,4.63680924774785
215,4.6475800154489
216,4.65832587954085
217,4.6690470119715
218,4.67974358271904
219,4.69041575982343
220,4.70106370941727
221,4.7116875957559
222,4.72228758124704
223,4.7328638264797
224,4.74341649025257
225,4.75394572960189
226,4.76445169982864
227,4.77493455452533
228,4.78539444560216
229,4.79583152331272
230,4.80624593627917
231,4.81663783151692
232,4.82700735445887
233,4.83735464897913
234,4.84767985741633
235,4.85798312059645
236,4.86826457785524
237,4.87852436706019
238,4.88876262463213
239,4.89897948556636
240,4.90917508345343
241,4.91934955049954
242,4.92950301754649
243,4.93963561409139
244,4.94974746830583
245,4.9598387070549
246,4.96990945591567
247,4.97995983919549
248,4.98998997994986
249,5
