episode,step,veh_id,T_tot_ms,deadline_ms,violation
0,10,1,22.1768387285654,250,0
0,10,2,60.2622680150379,250,0
0,10,3,46.3133316074922,250,0
0,10,4,113.735688185823,250,0
0,10,5,16.3021152262317,250,0
0,10,6,17.4511177673304,250,0
0,10,7,2.44013169714227,250,0
0,10,8,13.0257615368206,250,0
0,10,9,1.22795191630545,250,0
0,10,10,0.578143688451435,250,0
0,10,11,119.915323660497,250,0
0,10,12,40.4698500392634,250,0
0,10,13,12.879592202599,250,0
0,10,14,0.256553353276102,250,0
0,10,15,11.2647501884392,250,0
0,11,0,0.780212006651728,250,0
0,11,1,76.6471509597396,250,0
0,11,2,25.8244907857063,250,0
0,11,3,22.416379152969,250,0
0,11,4,50.2345346275907,250,0
0,11,5,8.45600797925973,250,0
0,11,6,11.1041404821845,250,0
0,11,7,22.7812583902133,250,0
0,11,8,86.3453673894687,250,0
0,11,9,23.2494353748392,250,0
0,11,10,27.0556019402769,250,0
0,11,11,29.351970529798,250,0
0,11,12,250,250,0
0,11,13,11.0586437293977,250,0
0,11,14,11.5652600890242,250,0
0,11,15,7.20134135996263,250,0
0,12,0,24.9041101435758,250,0
0,12,1,27.1985743513203,250,0
0,12,2,20.3987087459737,250,0
0,12,3,18.1188604327535,250,0
0,12,4,149.628996462383,250,0
0,12,5,18.5975258312579,250,0
0,12,6,3.89192275946023,250,0
0,12,7,19.0910216020921,250,0
0,12,8,15.5240605239518,250,0
0,12,9,23.9942338002008,250,0
0,12,10,0.432924819841683,250,0
0,12,11,74.5226739494709,250,0
0,12,12,67.1736792398682,250,0
0,12,13,9.9985798939397,250,0
0,12,14,3.22549485953005,250,0
0,12,15,3.65255268818577,250,0
0,13,0,23.6083469309916,250,0
0,13,1,15.1799444717629,250,0
0,13,2,8.57323953872329,250,0
0,13,3,2.71399540500712,250,0
0,13,4,4.45157523972116,250,0
0,13,5,23.8918241117038,250,0
0,13,6,18.2243795455155,250,0
0,13,7,17.5648081272381,250,0
0,13,8,16.0507685414446,250,0
0,13,9,6.88199334062679,250,0
0,13,10,28.5276350416688,250,0
0,13,11,53.5738240463042,250,0
0,13,12,227.626963308166,250,0
0,13,13,19.0576653385202,250,0
0,13,14,11.8766337530252,250,0
0,13,15,19.7589733188767,250,0
0,14,0,14.291511950729,250,0
0,14,1,8.50592731165441,250,0
0,14,2,0.17415294165448,250,0
0,14,3,14.0651029967966,250,0
0,14,4,32.0975456194017,250,0
0,14,5,12.0265095630583,250,0
0,14,6,7.48028516434687,250,0
0,14,7,22.8031485613167,250,0
0,14,8,14.5406386136921,250,0
0,14,9,4.47903355751449,250,0
0,14,10,63.4374897239788,250,0
0,14,11,6.79991313189258,250,0
0,14,12,138.633379146764,250,0
0,14,13,5.726185794676,250,0
0,14,14,23.9389473554916,250,0
0,14,15,26.9210549517328,250,0
0,15,0,1.78803470777215,250,0
0,15,1,19.5967113349117,250,0
0,15,2,56.3957138836637,250,0
0,15,3,14.2412415860174,250,0
0,15,4,44.3057136745172,250,0
0,15,5,4.07638123547209,250,0
0,15,6,8.69223416559757,250,0
0,15,7,37.1339571748748,250,0
0,15,8,6.43618660305839,250,0
0,15,9,8.82710861763055,250,0
0,15,10,209.82276307183,250,0
0,15,11,138.488076223896,250,0
0,15,12,74.2441723773485,250,0
0,15,13,16.9912219237284,250,0
0,15,14,14.2590719771576,250,0
0,15,15,17.2320972376659,250,0
0,16,0,16.7069938665431,250,0
0,16,1,94.2932904372482,250,0
0,16,2,10.1568528631514,250,0
0,16,3,18.3363781735209,250,0
0,16,4,64.931187869617,250,0
0,16,5,0.745067011206395,250,0
0,16,6,1.53604986305076,250,0
0,16,7,21.2862897094296,250,0
0,16,8,12.6153022692055,250,0
0,16,9,250,250,0
0,16,10,48.8855452461288,250,0
0,16,11,58.4177687346281,250,0
0,16,12,250,250,0
0,16,13,9.23435393205858,250,0
0,16,14,2.19393418053394,250,0
0,16,15,15.7295527887242,250,0
0,17,0,7.6702115893449,250,0
0,17,1,0.433987028965941,250,0
0,17,2,1.82740584773559,250,0
0,17,3,16.8806851067346,250,0
0,17,4,85.2410848894552,250,0
0,17,5,33.3825335776738,250,0
0,17,6,17.1200906047132,250,0
0,17,7,185.718475695368,250,0
0,17,8,241.149673073054,250,0
0,17,9,14.1767764933056,250,0
0,17,10,29.5983949845122,250,0
0,17,11,46.2101154880231,250,0
0,17,12,239.771059025907,250,0
0,17,13,15.7714424454321,250,0
0,17,14,41.6357888772702,250,0
0,17,15,1.90675617111181,250,0
0,18,0,8.17928026130829,250,0
0,18,1,6.51758515179011,250,0
0,18,2,38.8983829808271,250,0
0,18,3,16.1539274643627,250,0
0,18,4,250,250,0
0,18,5,52.9149051533314,250,0
0,18,6,20.0562432428768,250,0
0,18,7,47.044462228701,250,0
0,18,8,42.0839582872598,250,0
0,18,9,7.04854049862699,250,0
0,18,10,35.6982797967099,250,0
0,18,11,23.0688022009127,250,0
0,18,12,150.769491129784,250,0
0,18,13,14.6265121148769,250,0
0,18,14,250,250,0
0,18,15,5.99703631905276,250,0
0,19,0,13.7123506877631,250,0
0,19,1,11.936155125331,250,0
0,19,2,16.0850213734548,250,0
0,19,3,13.8948614562442,250,0
0,19,4,40.7942176031547,250,0
0,19,5,23.9197585838547,250,0
0,19,6,1.13320389994047,250,0
0,19,7,40.2422843985477,250,0
0,19,8,26.4264915685952,250,0
0,19,9,12.2177778607327,250,0
0,19,10,16.2127614698224,250,0
0,19,11,34.2928031305612,250,0
0,19,12,144.876078314259,250,0
0,19,13,16.7612915136642,250,0
0,19,14,47.8577904794949,250,0
0,19,15,10.9942042610845,250,0
0,20,0,18.5961187021243,250,0
0,20,1,3.4964118186262,250,0
0,20,2,13.784784179142,250,0
0,20,3,12.597735988052,250,0
0,20,4,65.3963943433936,250,0
0,20,5,13.8943054028784,250,0
0,20,6,5.35743417853309,250,0
0,20,7,0.0146319761898569,250,0
0,20,8,4.31149659032171,250,0
0,20,9,12.601329212717,250,0
0,20,10,23.6166400570227,250,0
0,20,11,29.4300977717463,250,0
0,20,12,61.6952992947702,250,0
0,20,13,27.3314721344403,250,0
0,20,14,23.4276846723208,250,0
0,20,15,4.21556106405887,250,0
0,21,0,1.83268302803715,250,0
0,21,1,14.5426194516293,250,0
0,21,2,1.12358218010293,250,0
0,21,3,40.0951862046198,250,0
0,21,4,8.04982173044954,250,0
0,21,5,43.7779682050437,250,0
0,21,6,25.3799048067992,250,0
0,21,7,1.12291866563201,250,0
0,21,8,38.2133240075976,250,0
0,21,9,16.9798862679927,250,0
