episode,mean_return,epsilon,mean_latency_ms,mean_sensing_db
0,-0.0209478720863619,0.316227766016838,44.5529428071908,0.218281071226779
1,-0.0208100385151,0.447213595499958,43.7670848764942,-0.125712761131862
2,-0.0149116101657636,0.547722557505166,101.064873131196,-0.0661856000324079
3,-0.0208743321909514,0.632455532033676,70.8760011399344,-1.84366807735197
4,-0.0191429399396618,0.707106781186547,81.2567879228294,-1.41237880446348
5,-0.0169282113073623,0.774596669241483,89.8065095386771,-1.05385423303334
6,-0.0148451763315978,0.836660026534075,106.366137338177,0.134522281745079
7,-0.0197832346223469,0.894427190999916,69.9988888876654,-2.81159009484344
8,-0.0197296694546344,0.948683298050514,75.2434162515102,-2.03385889124915
9,-0.0158161533245606,1,103.18663453241,-0.810882072510773
10,-0.0125124054106938,1.04880884817015,123.993145114085,0.540003074977268
11,-0.0142221831475898,1.09544511501033,104.619294729933,-0.171406436034196
12,-0.0181157801152795,1.14017542509914,87.7498454841133,-1.86172328583294
13,-0.0187010021169992,1.18321595661992,90.9226913191458,-2.51717172207934
14,-0.0203415508141234,1.22474487139159,79.224290690228,-2.71206071995572
15,-0.019875112580906,1.26491106406735,80.1741856388118,-2.81142877864443
16,-0.0198570464732956,1.30384048104053,76.8560222352834,-3.15536698798261
17,-0.0183975145200037,1.34164078649987,84.78930330514,-2.12885852574189
18,-0.0176382196849858,1.37840487520902,91.8907122510083,-2.60763987229673
19,-0.0167961672844173,1.4142135623731,100.711734520396,-1.50807622401117
20,-0.0175569024037461,1.44913767461894,104.230122513869,-1.62796489936755
21,-0.0177308817854102,1.48323969741913,96.7223004825983,-2.19923034144173
22,-0.0198132339299468,1.51657508881031,81.4587263867148,-2.25478595735531
23,-0.0208520675732024,1.54919333848297,67.8373379687275,-3.46185777936151
24,-0.0229206826236099,1.58113883008419,56.1781827123868,-3.34815443845715
25,-0.0220165192884989,1.61245154965971,67.4248069971195,-3.44315556901063
26,-0.0204217474605797,1.6431676725155,73.6857399650291,-3.12519177729122
27,-0.0215102580636392,1.67332005306815,72.0348100551421,-3.6504979645813
28,-0.0212614631402921,1.70293863659264,73.9086088865192,-3.70179546180642
29,-0.0215950267436652,1.73205080756888,64.2242516861397,-3.2516246917216
30,-0.0210161181214568,1.7606816861659,71.4898194411976,-3.49827235481828
31,-0.0221030673033012,1.78885438199983,68.0205544688212,-4.19721483980036
32,-0.0216576190114104,1.8165902124585,67.3893318285907,-3.67846260725817
33,-0.0188387332832566,1.84390889145858,88.0925707719401,-2.15127128429206
34,-0.0190573454216881,1.87082869338697,81.1775204230379,-2.86417584806836
35,-0.0176636465622238,1.89736659610103,102.901652903536,-1.74821158802583
36,-0.0178180245103335,1.92353840616714,91.9505916603389,-2.22116262564139
37,-0.0163484599627613,1.94935886896179,107.611136099138,-1.63281298162377
38,-0.0115286494785207,1.97484176581315,138.914797881866,-0.149759647946189
39,-0.00904574485364059,2,154.594971765222,0.866479260069261
40,-0.00942810776054834,2.02484567313166,152.715791840875,0.899473844841777
41,-0.00911485718954024,2.04939015319192,152.480168078802,1.19107309894176
42,-0.00898102448730229,2.07364413533277,153.061631491161,0.233057719826597
43,-0.0095401717406725,2.0976176963403,145.441880515767,0.798317266930476
44,-0.00859305776254828,2.12132034355964,156.495447304258,0.695544341178663
45,-0.00890185982503228,2.14476105895272,154.762582204187,0.946955651965465
46,-0.00930837780874056,2.16794833886788,155.934970897385,1.54996266177595
47,-0.00891171237558973,2.19089023002067,154.886053635222,1.05937904002033
48,-0.00926479065562881,2.21359436211787,152.703969422113,1.11988599118037
49,-0.00921034490374816,2.23606797749979,147.703320144755,0.847142033989274
50,-0.00945618449587799,2.25831795812724,150.6556417654,0.622945486132733
51,-0.00872390626138226,2.28035085019828,154.654872620817,0.978600474520976
52,-0.00926616374460589,2.30217288664427,147.659311296632,1.33287496667818
53,-0.00797810289099892,2.32379000772445,160.900024594255,1.01751370747528
54,-0.0091051260261308,2.34520787991172,150.738244516879,0.678522187357093
55,-0.00847425109587734,2.36643191323985,156.475920621203,1.50384611695654
56,-0.00856919409729366,2.38746727726267,163.555420254024,1.40871354197788
57,-0.00885373200620661,2.40831891575846,161.344523406088,1.33508028728697
58,-0.00826843331979106,2.42899156029822,166.907594579556,1.60594575859332
59,-0.00880445946596905,2.44948974278318,162.410553137525,1.6080878078613
60,-0.00862527670061841,2.46981780704569,166.481233503153,1.2679751296164
61,-0.0081686489631672,2.48997991959775,161.220432416729,1.14827232623792
62,-0.00830944660671301,2.50998007960223,151.499170767966,1.12667713406042
63,-0.00860115349392225,2.5298221281347,160.974222682367,1.41389104748106
64,-0.00840199310814968,2.54950975679639,171.059651262423,1.41925299033011
65,-0.00839843987127624,2.56904651573303,164.780177602761,1.53786569417499
66,-0.0084071197038186,2.58843582110896,152.961338699778,1.19367530516353
67,-0.00845404883527787,2.60768096208106,163.628792750175,1.45158167994204
68,-0.00838698410096673,2.62678510731274,159.624160025267,1.04385810664453
69,-0.00814796597150468,2.64575131106459,166.64776500419,0.718404821674967
70,-0.00871986463585649,2.66458251889485,154.390758775177,1.16489831075009
71,-0.00856375757406895,2.68328157299975,153.630766418174,0.529955213018397
72,-0.00850241033575045,2.70185121722126,161.288673206601,1.19700392360194
73,-0.00811874123126205,2.72029410174709,167.159365949343,1.37148194326839
74,-0.00850840105172029,2.73861278752583,160.964004568693,1.28156127608883
75,-0.00799743438743279,2.75680975041805,163.590057177885,0.653293514295427
76,-0.00935103186614878,2.77488738510232,149.128365706287,1.16466283211762
77,-0.00817472879897387,2.79284800875379,170.789836474419,1.15076638025238
78,-0.00878493195590768,2.81069386451104,160.220142286701,1.0290470622989
79,-0.00862895196053789,2.82842712474619,159.052870280789,1.3023678596213
